section,question_number,question_text,question_instructions
1.1,Q1,"Avez-vous agi en tant que mandataire professionnel au sens de la loi n° 1.362 pour des achats ou des ventes de biens immobiliers ou de locations immobilières au cours de la période de déclaration ? (cf. lien)","Activités soumises : L'achat, la vente et la location de biens immobiliers. Pour la location, uniquement les loyers mensuels supérieur ou égal à 10.000€."
1.1,Q2,Spécifiquement en ce qui concerne les achats ou ventes de biens immobiliers réalisés au cours de la période de référence ?,L'achat et la vente de biens immobiliers.
1.1,Q3,Spécifiquement en ce qui concerne les locations de biens immobiliers pour lesquelles des opérations ont été réalisées au cours de la période de référence ?,La location de biens immobiliers pour un loyer mensuel supérieur ou égal à 10.000€.
1.2,Q4,"Veuillez indiquer le nombre total de clients uniques qui ont été actifs à un moment donné pendant la période de déclaration, pour l'achat, la vente et la location de biens immobiliers.","L'achat, la vente et la location de biens immobiliers. Veuillez fournir des réponses uniquement pour les activités où vous ou votre entité avez agi en tant que mandataire professionnel au sens de la loi n° 1.362 modifiée par la loi n°1.503 du 23 décembre 2020 pour l'achat, la vente ou la location de biens immobiliers au cours de la période de déclaration. Par exemple, les clients locataires ayant un loyer mensuel inférieur à 10 000 euros devraient être exclus de ce total. En cas de bi-nationalité ou de pluri-nationalité, indiquer celle qui est la plus communément utilisée. Veuillez déclarer uniquement les informations relatives aux activités qui ne sont pas revendiquées par une autre entité que vous avez représentée et qui répond également à ce questionnaire de LBC/FT du SICCFIN sur les questions immobilières. Pour les questions mentionnant un « client unique », veuillez tenir compte de ce qui suit : • Si un même client effectue plusieurs opérations, il est considéré comme un seul client. • Si l'entité fournit plusieurs services ou dispose de plusieurs contrats ou relations avec le même client, il est considéré comme un seul client. • Toute autre situation où le même client serait compté deux fois, veuillez considérer qu'il s'agit d'un seul client."
1.2,Q5,"Veuillez indiquer le nombre total d'opérations effectuées par les clients au cours de la période de déclaration, pour l'achat, la vente et la location de biens immobiliers.","L'achat, la vente et la location de biens immobiliers. Précisions pour plus de clarté : Si un client achète une propriété et effectue 2 transferts pour effectuer le paiement complet, cela sera compté comme 1 transaction immobilière. l'achat de parts ou d'actions d'une société à vocation immobilière constitue autant d'opérations qu'il y a d'achats ou de vente (par ex. achat de 10 parts = 1 transaction ; un achat de 10 parts puis un autre achat de 15 parts = 2 transactions ; vente de 100% des parts d'une SCI = 1 transaction). Pour les locations, une transaction correspond à l'équivalent d'un loyer mensuel (>= 10.000 Euros). Un client locataire effectuant des paiements mensuels pendant une année complète représente 12 transactions. Un client locataire effectuant un paiement couvrant 12 mois de loyer sera compté comme 12 transactions."
1.2,Q6,"Veuillez indiquer la valeur totale des fonds transférés par des clients pendant la période de déclaration, pour l'achat et la vente de biens immobiliers.","L'achat et la vente de biens immobiliers. Merci de fournir le total du montant du contrat d'achat/vente. Si le montant total n'est pas disponible, par exemple que le montant connu est sans frais ni taxes, veuillez expliquer votre réponse dans la section commentaires."
1.2,Q7,"Veuillez indiquer la valeur totale des fonds transférés par des clients pendant la période de déclaration, pour la location de biens immobiliers.","La location de biens immobiliers. Merci de fournir le total du montant du contrat location. Si le montant total n'est pas disponible, par exemple que le montant connu est sans frais ni taxes, veuillez expliquer votre réponse dans la section commentaires."
1.2,Q8,"Veuillez indiquer le nombre total d'opérations effectuées avec les clients au cours de la période de déclaration, pour l'achat, la vente et la location de biens immobiliers.","L'achat, la vente et la location de biens immobiliers."
1.2,Q9,"Veuillez indiquer la valeur totale des fonds transférés avec les clients pendant la période de déclaration, pour l'achat, la vente et la location de biens immobiliers.","L'achat, la vente et la location de biens immobiliers."
1.3,Q10,Votre entité peut-elle distinguer la nationalité du bénéficiaire effectif des clients ?,
1.3,Q11,Fournir la répartition en pourcentage des principales nationalités des bénéficiaires effectifs.,"Veuillez indiquer la répartition en pourcentage des nationalités principales des bénéficiaires effectifs de tous les clients, y compris les bénéficiaires effectifs ayant différents pourcentages de propriété, ceux qui exercent un contrôle direct ou indirect et ceux qui représentent une personne morale."
1.3,Q12,"Veuillez indiquer le nombre total de bénéficiaires effectifs exerçant un contrôle direct ou indirect sur une personne morale, ventilé par nationalité principale.","Les informations demandées concernent seulement le nombre de BE qui sont considérés comme des BE du fait du contrôle direct ou indirect d'une personne morale, d'un trust ou d'une autre construction juridique."
1.3,Q13,"Veuillez indiquer le nombre total de bénéficiaires effectifs représentant une personne morale, ventilé par nationalité principale.","Les informations demandées concernent seulement le nombre de BE qui sont considérés comme des BE du fait de la représentation légale d'une personne morale, d'un trust ou d'une autre construction juridique."
1.3,Q14,Votre entité peut-elle distinguer les bénéficiaires effectifs qui détiennent 25 % ou plus ?,
1.3,Q15,"Veuillez fournir le nombre total de bénéficiaires effectifs détenant au moins 25%, ventilé par nationalité principale du BE.",
